notMet,src/icons/0041_x_i_heavyCircle.svg,themeable ,,
incomplete_inverse,src/icons/0041_x_i_heavyCircleWhite.svg,,,
incomplete_inverse_low_light,src/icons/LL_0041_x_i_heavyCircleWhite.svg,,,
person,src/icons/0043_person_a.svg,themeable ,,
left,src/icons/0044_arrowLeft_a.svg,themeable ,bi-directional,
right,src/icons/0044_arrowRight_a.svg,themeable ,bi-directional,
up,src/icons/0044_arrowUp_a.svg,themeable ,,
down,src/icons/0044_arrowDown_a.svg,themeable ,,
settings,src/icons/0048_gear_a.svg,themeable ,,
edit,src/icons/0049_pencil_a.svg,themeable ,,
calendar,src/icons/0050_calendar_a.svg,themeable ,,
lookback,src/icons/0050_calendar_a.svg,themeable ,,
refresh,src/icons/0051_arrowsCircle_a.svg,themeable ,,
provider,src/icons/0053_provider_a.svg,themeable ,,
padlock,src/icons/0054_padlock_a.svg,themeable ,,
featured,src/icons/0056_star_a_on.svg,themeable ,,
featuredOff,src/icons/0056_star_a_light_off.svg,themeable ,,
featuredOutline,src/icons/0056_star_a_light_off.svg,themeable ,,
halfRating,src/icons/0056_star_a_half.svg,themeable ,,
featuredOutlineYellow,src/icons/0056_star_a_outlineYellow.svg,,,
archive,src/icons/0058_box_a.svg,themeable ,,
funnel,src/icons/0059_funnel_a.svg,themeable ,,
documents,src/icons/0060_papers_a.svg,themeable ,,
question,src/icons/0061_questionMark_a.svg,themeable ,,
help,src/icons/0061_questionMark_i_heavyCircleBlue.svg,,,
help_low_light,src/icons/LL_0061_questionMark_i_heavyCircleBlue.svg,,,
help_inverse,src/icons/0061_questionMark_i_heavyCircleWhite.svg,,,
help_inverse_low_light,src/icons/LL_0061_questionMark_i_heavyCircleWhite.svg,,,
unknown,src/icons/0061_questionMark_i_heavyCircle.svg,themeable ,,
unexpected,src/icons/0061_questionMark_i_diamond_light.svg,,,
unexpected_low_light,src/icons/LL_0061_questionMark_i_diamond_light.svg,,,
questionOutline,src/icons/0061_questionMark_i_lightCircle.svg,themeable ,,
house,src/icons/0062_house_a.svg,themeable ,,
save,src/icons/0065_floppyDisk_a.svg,themeable ,,
hospital,src/icons/0068_hospital_a.svg,themeable ,,
pending,src/icons/0069_hourglass_a.svg,themeable ,,
analytics,src/icons/0070_dottedLine_a.svg,themeable ,bi-directional,
announcement,src/icons/0071_megaphone_a.svg,themeable ,,
camera,src/icons/0072_camera_a.svg,themeable ,,
briefcase,src/icons/0073_briefcase_a.svg,themeable ,,
link,src/icons/0074_chain_a.svg,themeable ,bi-directional,
menu,src/icons/0075_list_a.svg,themeable ,,
list,src/icons/0075_list_a.svg,themeable ,,
checklist,src/icons/0079_checkList_a.svg,themeable ,,
unlock,src/icons/0080_padlock_open_a.svg,themeable ,bi-directional,
due,src/icons/0081_stopwatch_a.svg,themeable ,,
dueSoon,src/icons/0084_stopwatch_exclamation_i_heavyDiamondYellow.svg,,,
dueSoon_low_light,src/icons/LL_0084_stopwatch_exclamation_i_heavyDiamondYellow.svg,,,
spinner,src/icons/0086_eightCircles_a.svg,themeable ,,
tile,src/icons/0087_tile_a.svg,themeable ,,
overDue,src/icons/0093_stopwatch_critical_i.svg,,,
overDue_low_light,src/icons/LL_0093_stopwatch_critical_i.svg,,,
users,src/icons/0094_people_a.svg,themeable ,,
knurling,src/icons/0112_knurling_a.svg,themeable ,,
addPerson,src/icons/0113_plusPerson_a.svg,themeable ,,
upload,src/icons/0114_lineArrowUp_a.svg,themeable ,,
download,src/icons/0115_lineArrowDown_a.svg,themeable ,,
cancel,src/icons/0116_cancel_a.svg,themeable ,,
maximize,src/icons/0117_arrowsOut_a.svg,themeable ,,
minimize,src/icons/0118_arrowsIn_a.svg,themeable ,,
reply,src/icons/0119_curvedArrowLeft_a.svg,themeable ,bi-directional,
table,src/icons/0120_table_a.svg,themeable ,,
required,src/icons/0121_asterisk_a.svg,themeable ,,
gap checking,src/icons/0121_asterisk_a.svg,themeable ,,
personHospital,src/icons/0122_personHospital_a.svg,themeable ,,
personnelPerson,src/icons/0123_personnelPerson_a.svg,themeable ,,
high,src/icons/0124_statusArrowUp_i_lightDiamond.svg,,,
high_low_light,src/icons/LL_0124_statusArrowUp_i_lightDiamond.svg,,,
high_inverse,src/icons/0124_statusArrowUp_i_lightDiamondWhite.svg,,,
high_inverse_low_light,src/icons/LL_0124_statusArrowUp_i_lightDiamondWhite.svg,,,
low,src/icons/0124_statusArrowDown_i_lightDiamond.svg,,,
low_low_light,src/icons/LL_0124_statusArrowDown_i_lightDiamond.svg,,,
lowRisk,src/icons/0124_arrowDown_i_lightCircle.svg,,,
lowRisk_low_light,src/icons/LL_0124_arrowDown_i_lightCircle.svg,,,
max,src/icons/0124_arrowUp_i.svg,,,
min,src/icons/0124_arrowDown_i.svg,,,
abnormal,src/icons/0125_squiggle_i_lightDiamond.svg,,,
abnormal_low_light,src/icons/LL_0125_squiggle_i_lightDiamond.svg,,,
leftPane,src/icons/0126_squareLeftFill_a.svg,themeable ,bi-directional,
flowsheet,src/icons/0126_squareLeftFill_a.svg,themeable ,bi-directional,
notificationOff,src/icons/0127_bell_a_light_off.svg,themeable ,,
notification,src/icons/0127_bell_a_heavy_on.svg,themeable ,,
notificationDisabled,src/icons/0127_bell_i_heavy_on_slash.svg,themeable ,,
last,src/icons/0128_lineChevronRight_a.svg,themeable ,bi-directional,
device,src/icons/0129_device_a.svg,themeable ,,
deviceCheck,src/icons/0130_device_check_i_heavyCircleGreen.svg,,,
deviceCheck_low_light,src/icons/LL_0130_device_check_i_heavyCircleGreen.svg,,,
deviceAlert,src/icons/0131_device_exclamation_i_heavyTriangleRed.svg,,,
deviceAlert_low_light,src/icons/LL_0131_device_exclamation_i_heavyTriangleRed.svg,,,
paperPencil,src/icons/0132_paperPencil_a.svg,themeable ,,
clipboard,src/icons/0133_clipboard_a.svg,themeable ,,
zoomOut,src/icons/0134_magnifyingGlassMinus_a.svg,themeable ,,
zoomIn,src/icons/0135_magnifyingGlassPlus_a.svg,themeable ,,
diamond,src/icons/0136_diamond_i_purple.svg,,,
